Sun. Feb.  7, 2016             LANDSAT 7                 Time: 15:42
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L17849366            Path/Row: 224 / 078

L0R Reference Image: L71EDC1800189010100_HDF.160381825
Acquisition Date: Jul 06, 2000

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
224   078   07-06-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2240780279_01  -25.660162  -54.062031   294.977       5.391     3.828     4.639     4.707
2240780282_01  -25.365152  -54.413560   228.093      -3.415    -5.775    -2.359    -6.282
2240780284_01  -26.605316  -55.416522   308.140       2.636    -0.142     2.620     0.319
2240780285_01  -26.443506  -55.509576   371.989      -3.026    -4.261    -2.235    -4.719
2240780292_01  -25.494282  -55.741831   256.027      -1.662     4.397    -2.396     4.038
2240780293_01  -25.326406  -55.592418   273.574       2.618     1.388     2.338     1.822
2240780294_01  -25.626633  -55.397399   209.730      -4.294    -2.221    -3.837    -2.933
2240780297_01  -26.493616  -54.757839   111.415       2.300     6.000     1.218     6.308
2240780299_01  -26.649937  -55.653101   266.102      -2.669    -3.547    -2.007    -3.955
2240780300_01  -26.436737  -55.331322   353.716       3.864     0.147     3.778     0.817
2240780302_01  -25.567533  -55.464832   272.618       0.339     5.201    -0.568     5.178
2240780303_01  -26.705471  -54.463675   595.133      -3.557    -2.322    -3.099    -2.903
2240780307_01  -25.293811  -54.253190   287.041       3.603     5.258     2.630     5.804
2240780308_01  -25.415520  -54.671990   195.867       1.765     0.343     1.678     0.645
2240780310_01  -25.410355  -55.429183   276.590       0.521    -1.003     0.690    -0.897
2240780312_01  -26.742862  -54.302108   641.004       1.229    -4.480     1.986    -4.196
2240780313_01  -26.867153  -54.408744   583.723      -3.947    -1.569    -3.615    -2.231
2240780314_01  -25.756133  -55.329642   243.471      -4.847     5.545    -5.733     4.614
2240780321_01  -25.588542  -54.832019   195.943       0.826     3.907     0.133     3.991
2240780323_01  -25.445711  -54.501354   231.327      -3.272    -1.437    -2.973    -1.984
2240780327_01  -25.477491  -54.441708   271.684       2.587     5.975     1.505     6.333
2240780328_01  -26.173490  -55.705159   170.899      -4.611    -1.672    -4.244    -2.448
2240780330_01  -26.400438  -54.415983   318.266       3.795    -0.778     3.870    -0.106
2240780333_01  -26.247500  -55.181686   427.324      -4.254    -3.256    -3.619    -3.944
2240780334_01  -26.748018  -54.216976   602.233       5.316    -7.102     6.464    -6.067
2240780335_01  -26.586198  -55.332137   220.597       0.261    -0.914     0.417    -0.854
2240780336_01  -25.384523  -54.749451   242.466       3.455    -4.676     4.216    -4.003
2240780337_01  -26.735706  -54.282992   652.773      -0.839    -5.693     0.161    -5.749
2240780340_01  -25.401748  -54.817114   198.613      -0.300    -1.996     0.052    -2.018
2240780341_01  -26.385971  -55.947945   143.002       4.348     2.466     3.854     3.185
2240780342_01  -26.388314  -55.902164   156.369       1.160    -2.171     1.523    -1.934
2240780343_01  -25.447203  -54.603364   116.061       3.622    -1.053     3.749    -0.407
2240780344_01  -26.582389  -55.923464   143.189      -1.388    -4.977    -0.496    -5.140
2240780346_01  -25.489687  -54.351908   297.935       0.305    -0.114     0.318    -0.059
